step,time,loss,acc
14050,2021-04-25T15:11:27.844880,2.410453e-01,9.140625e-01
14100,2021-04-25T15:11:35.996087,2.493544e-01,8.750000e-01
14150,2021-04-25T15:11:44.134328,1.862130e-01,9.218750e-01
14200,2021-04-25T15:11:52.257610,1.952325e-01,9.140625e-01
14250,2021-04-25T15:12:00.373910,2.217085e-01,9.062500e-01
14300,2021-04-25T15:12:08.473255,1.981720e-01,9.140625e-01
14350,2021-04-25T15:12:16.580579,2.104706e-01,9.062500e-01
14400,2021-04-25T15:12:24.736773,2.238688e-01,9.218750e-01
14450,2021-04-25T15:12:32.870027,1.834147e-01,8.984375e-01
14500,2021-04-25T15:12:41.010264,1.757870e-01,9.375000e-01
14550,2021-04-25T15:12:49.592212,2.385210e-01,8.984375e-01
14600,2021-04-25T15:12:57.713951,2.035446e-01,8.984375e-01
14650,2021-04-25T15:13:05.849201,2.389873e-01,8.984375e-01
14700,2021-04-25T15:13:13.951538,2.175460e-01,9.296875e-01
14750,2021-04-25T15:13:22.062852,1.844191e-01,9.218750e-01
14800,2021-04-25T15:13:30.208074,2.479918e-01,8.828125e-01
14850,2021-04-25T15:13:38.324375,2.175061e-01,9.218750e-01
14900,2021-04-25T15:13:46.443667,1.713927e-01,9.296875e-01
14950,2021-04-25T15:13:54.567946,1.716300e-01,9.531250e-01
15000,2021-04-25T15:14:02.702198,2.876234e-01,8.671875e-01
15050,2021-04-25T15:14:11.248612,1.587937e-01,9.375000e-01
15100,2021-04-25T15:14:19.370896,2.285330e-01,9.218750e-01
15150,2021-04-25T15:14:27.535068,2.207623e-01,8.750000e-01
15200,2021-04-25T15:14:35.671315,1.442717e-01,9.609375e-01
15250,2021-04-25T15:14:43.792601,2.887675e-01,8.671875e-01
15300,2021-04-25T15:14:51.913888,2.811005e-01,9.140625e-01
15350,2021-04-25T15:15:00.122940,1.327080e-01,9.531250e-01
15400,2021-04-25T15:15:08.342963,2.620061e-01,8.906250e-01
15450,2021-04-25T15:15:16.487189,1.637780e-01,9.375000e-01
15500,2021-04-25T15:15:24.618449,2.220881e-01,9.062500e-01
15550,2021-04-25T15:15:33.156579,2.633990e-01,8.828125e-01
15600,2021-04-25T15:15:41.298810,1.778264e-01,9.375000e-01
15650,2021-04-25T15:15:49.440048,1.620018e-01,9.531250e-01
15700,2021-04-25T15:15:57.549367,2.070357e-01,8.906250e-01
15750,2021-04-25T15:16:05.694590,2.102790e-01,9.062500e-01
15800,2021-04-25T15:16:13.827845,2.847229e-01,8.671875e-01
15850,2021-04-25T15:16:21.941153,1.703788e-01,9.296875e-01
15900,2021-04-25T15:16:30.073410,1.923117e-01,9.218750e-01
15950,2021-04-25T15:16:38.201679,2.071739e-01,9.062500e-01
16000,2021-04-25T15:16:46.335931,2.090746e-01,9.218750e-01
16050,2021-04-25T15:16:54.912999,2.324373e-01,9.062500e-01
16100,2021-04-25T15:17:03.061214,2.117628e-01,9.062500e-01
16150,2021-04-25T15:17:11.309162,2.114687e-01,9.062500e-01
16200,2021-04-25T15:17:19.563094,1.816708e-01,9.375000e-01
16250,2021-04-25T15:17:27.727266,1.712860e-01,9.062500e-01
